repository,url,age,releases,stars,loc,cbo,dit,lcom,visited
nostra13/Android-Universal-Image-Loader,https://github.com/nostra13/Android-Universal-Image-Loader,11,0,16813,7434,3.0,6.0,0.5,True
Tencent/tinker,https://github.com/Tencent/tinker,6,52,16701,39392,3.0,53.0,0.0,True
shuzheng/zheng,https://github.com/shuzheng/zheng,6,0,16450,41742,3.0,2.0,0.0,True
yudaocode/SpringBoot-Labs,https://github.com/yudaocode/SpringBoot-Labs,4,0,16249,17688,4.0,4.0,0.0,True
winterbe/java8-tutorial,https://github.com/winterbe/java8-tutorial,8,0,16193,2081,1.0,1.0,0.0,True
openzipkin/zipkin,https://github.com/openzipkin/zipkin,10,70,16050,37263,5.0,19.0,1.0,True
iBotPeaches/Apktool,https://github.com/iBotPeaches/Apktool,10,16,15867,11699,4.0,5.0,3.0,True
LMAX-Exchange/disruptor,https://github.com/LMAX-Exchange/disruptor,10,13,15811,13140,3.0,8.0,0.0,True
OpenAPITools/openapi-generator,https://github.com/OpenAPITools/openapi-generator,4,53,15543,191499,4.0,12.0,1.0,True
android10/Android-CleanArchitecture,https://github.com/android10/Android-CleanArchitecture,8,0,15305,2260,4.0,3.0,1.0,True
JeffLi1993/springboot-learning-example,https://github.com/JeffLi1993/springboot-learning-example,6,0,15305,1614,3.0,3.0,0.0,True
openjdk/jdk,https://github.com/openjdk/jdk,4,0,15267,0,0.0,0.0,0.0,False
keycloak/keycloak,https://github.com/keycloak/keycloak,9,33,15223,475115,4.0,25.0,1.0,True
dyc87112/SpringBoot-Learning,https://github.com/dyc87112/SpringBoot-Learning,6,0,15026,2777,4.0,3.0,0.0,True
Tencent/APIJSON,https://github.com/Tencent/APIJSON,6,92,14885,11679,2.0,4.0,5.0,True
medcl/elasticsearch-analysis-ik,https://github.com/medcl/elasticsearch-analysis-ik,11,184,14857,2051,4.5,2.0,1.0,True
material-components/material-components-android,https://github.com/material-components/material-components-android,6,67,14663,96098,4.0,11.0,1.0,True
prestodb/presto,https://github.com/prestodb/presto,10,0,14525,661740,6.0,26.0,1.0,True
justauth/JustAuth,https://github.com/justauth/JustAuth,4,45,14492,5287,2.0,4.0,6.0,True
williamfiset/Algorithms,https://github.com/williamfiset/Algorithms,5,0,14458,32435,2.0,2.0,3.0,True
hdodenhof/CircleImageView,https://github.com/hdodenhof/CircleImageView,9,0,14390,360,5.0,3.0,0.0,True
android-hacker/VirtualXposed,https://github.com/android-hacker/VirtualXposed,5,50,14197,47736,2.0,303.0,0.0,True
baomidou/mybatis-plus,https://github.com/baomidou/mybatis-plus,6,24,14145,26345,3.0,7.0,0.0,True
alibaba/ARouter,https://github.com/alibaba/ARouter,6,16,14117,3165,2.0,4.0,0.0,True
antlr/antlr4,https://github.com/antlr/antlr4,13,28,14020,40812,3.0,13.0,0.0,True
Tencent/QMUI_Android,https://github.com/Tencent/QMUI_Android,5,35,13980,58309,2.0,16.0,0.0,True
mockito/mockito,https://github.com/mockito/mockito,10,199,13751,50053,2.0,19.0,0.0,True
Konloch/bytecode-viewer,https://github.com/Konloch/bytecode-viewer,8,58,13567,18981,3.0,10.0,0.0,True
lgvalle/Material-Animations,https://github.com/lgvalle/Material-Animations,8,0,13552,1010,2.0,3.0,0.0,True
orhanobut/logger,https://github.com/orhanobut/logger,7,16,13536,827,6.0,2.0,0.0,True
heibaiying/BigData-Notes,https://github.com/heibaiying/BigData-Notes,4,0,13504,2124,5.0,2.0,0.0,True
arduino/Arduino,https://github.com/arduino/Arduino,12,37,13436,25793,2.0,13.0,0.0,True
eclipse-vertx/vert.x,https://github.com/eclipse-vertx/vert.x,11,0,13435,136904,3.0,12.0,1.0,True
elastic/logstash,https://github.com/elastic/logstash,12,108,13322,35828,4.0,52.0,1.0,True
apache/hadoop,https://github.com/apache/hadoop,8,0,13316,1593721,4.0,77.0,0.0,True
ben-manes/caffeine,https://github.com/ben-manes/caffeine,8,65,13262,74865,3.0,22.0,0.0,True
Bigkoo/Android-PickerView,https://github.com/Bigkoo/Android-PickerView,8,0,13257,4421,2.0,2.0,0.0,True
thingsboard/thingsboard,https://github.com/thingsboard/thingsboard,6,53,13254,158986,5.0,10.0,0.0,True
zhisheng17/flink-learning,https://github.com/zhisheng17/flink-learning,4,0,13247,13941,3.0,4.0,0.0,True
Curzibn/Luban,https://github.com/Curzibn/Luban,6,6,13195,1088,1.0,2.0,1.0,True
google/tink,https://github.com/google/tink,8,21,13047,70408,5.0,41.0,1.0,True
alibaba/DataX,https://github.com/alibaba/DataX,5,3,13039,69223,3.0,8.0,0.0,True
lionsoul2014/ip2region,https://github.com/lionsoul2014/ip2region,7,0,12971,2336,2.0,3.0,1.0,True
JessYanCoding/AndroidAutoSize,https://github.com/JessYanCoding/AndroidAutoSize,4,14,12878,1720,4.0,2.0,1.0,True
deeplearning4j/deeplearning4j,https://github.com/deeplearning4j/deeplearning4j,9,0,12815,623182,7.0,1463.0,6.0,True
Grasscutters/Grasscutter,https://github.com/Grasscutters/Grasscutter,0,6,12704,0,0.0,0.0,0.0,False
pinpoint-apm/pinpoint,https://github.com/pinpoint-apm/pinpoint,8,52,12639,344673,3.0,20.0,0.0,True
facebook/stetho,https://github.com/facebook/stetho,8,13,12623,19224,3.0,21.0,0.0,True
GoogleContainerTools/jib,https://github.com/GoogleContainerTools/jib,5,145,12591,34840,4.0,5.0,0.0,True
greenrobot/greenDAO,https://github.com/greenrobot/greenDAO,11,8,12561,18545,4.0,8.0,1.0,True
Netflix/zuul,https://github.com/Netflix/zuul,9,5,12479,19487,4.0,10.0,1.0,True
apache/druid,https://github.com/apache/druid,10,53,12457,609546,5.0,164.0,0.0,True
seaswalker/spring-analysis,https://github.com/seaswalker/spring-analysis,6,0,12390,378,2.0,4.0,0.0,True
apache/pulsar,https://github.com/apache/pulsar,6,64,12388,448140,4.0,149.0,0.0,True
zhihu/Matisse,https://github.com/zhihu/Matisse,5,15,12379,3418,5.0,4.0,0.0,True
youth5201314/banner,https://github.com/youth5201314/banner,6,0,12317,2713,5.0,4.0,1.0,True
daimajia/AndroidSwipeLayout,https://github.com/daimajia/AndroidSwipeLayout,8,18,12276,2770,2.0,3.0,0.0,True
java-decompiler/jd-gui,https://github.com/java-decompiler/jd-gui,7,18,12268,19309,3.0,15.0,1.0,True
LuckSiege/PictureSelector,https://github.com/LuckSiege/PictureSelector,6,112,12264,39212,2.0,9.0,0.0,True
daimajia/AndroidViewAnimations,https://github.com/daimajia/AndroidViewAnimations,8,9,12244,965,2.0,2.0,0.0,True
sqshq/piggymetrics,https://github.com/sqshq/piggymetrics,7,2,12199,1881,5.0,2.0,0.0,True
projectlombok/lombok,https://github.com/projectlombok/lombok,13,3,11818,74400,2.0,10.0,0.0,True
macrozheng/mall-learning,https://github.com/macrozheng/mall-learning,3,0,11814,28651,3.0,4.0,1.0,True
google/guice,https://github.com/google/guice,8,15,11810,78717,3.0,43.0,0.0,True
dromara/Sa-Token,https://github.com/dromara/Sa-Token,3,28,11770,18668,3.0,5.0,1.0,True
Netflix/eureka,https://github.com/Netflix/eureka,10,146,11730,32744,4.0,9.0,0.0,True
Tencent/VasSonic,https://github.com/Tencent/VasSonic,5,10,11632,7421,2.0,4.0,0.0,True
pagehelper/Mybatis-PageHelper,https://github.com/pagehelper/Mybatis-PageHelper,8,11,11578,7108,6.0,5.0,0.0,True
codecentric/spring-boot-admin,https://github.com/codecentric/spring-boot-admin,8,99,11561,13295,6.0,5.0,0.0,True
doocs/source-code-hunter,https://github.com/doocs/source-code-hunter,3,0,11492,0,,,,True
quarkusio/quarkus,https://github.com/quarkusio/quarkus,4,221,11470,641973,4.0,16.0,0.0,True
Yalantis/uCrop,https://github.com/Yalantis/uCrop,7,15,11451,4643,3.0,7.0,1.0,True
realm/realm-java,https://github.com/realm/realm-java,10,0,11363,109774,2.0,16.0,0.0,True
neo4j/neo4j,https://github.com/neo4j/neo4j,10,72,11168,551530,4.0,58.0,1.0,True
androidannotations/androidannotations,https://github.com/androidannotations/androidannotations,11,0,11133,28810,4.0,10.0,1.0,True
jfeinstein10/SlidingMenu,https://github.com/jfeinstein10/SlidingMenu,10,0,11132,3085,3.0,5.0,0.0,True
apache/zookeeper,https://github.com/apache/zookeeper,13,0,11121,117032,3.0,96.0,0.0,True
permissions-dispatcher/PermissionsDispatcher,https://github.com/permissions-dispatcher/PermissionsDispatcher,7,40,11100,3184,0.0,4.0,3.0,True
frank-lam/fullstack-tutorial,https://github.com/frank-lam/fullstack-tutorial,4,0,11023,0,,,,True
janishar/mit-deep-learning-book-pdf,https://github.com/janishar/mit-deep-learning-book-pdf,5,3,10977,2,0.0,1.0,0.0,True
kunal-kushwaha/DSA-Bootcamp-Java,https://github.com/kunal-kushwaha/DSA-Bootcamp-Java,1,0,10967,5161,1.0,3.0,1.0,True
redis/jedis,https://github.com/redis/jedis,12,74,10953,60953,3.0,7.0,1.0,True
theonedev/onedev,https://github.com/theonedev/onedev,4,244,10928,241486,4.0,10.0,0.0,True
DuGuQiuBai/Java,https://github.com/DuGuQiuBai/Java,7,0,10842,10928,0.0,6.0,0.0,True
alibaba/vlayout,https://github.com/alibaba/vlayout,6,34,10832,14042,3.0,7.0,0.0,True
H07000223/FlycoTabLayout,https://github.com/H07000223/FlycoTabLayout,7,4,10813,2730,3.0,3.0,1.0,True
code4craft/webmagic,https://github.com/code4craft/webmagic,9,23,10753,8676,4.0,9.0,1.0,True
lingochamp/FileDownloader,https://github.com/lingochamp/FileDownloader,7,65,10745,14387,2.0,28.0,1.0,True
gyf-dev/ImmersionBar,https://github.com/gyf-dev/ImmersionBar,5,0,10709,7237,5.0,4.0,3.0,True
mission-peace/interview,https://github.com/mission-peace/interview,8,0,10700,27259,2.0,4.0,1.0,True
pxb1988/dex2jar,https://github.com/pxb1988/dex2jar,7,6,10687,41007,3.0,8.0,0.0,True
android-async-http/android-async-http,https://github.com/android-async-http/android-async-http,12,3,10645,7620,4.0,5.0,3.0,True
zaproxy/zaproxy,https://github.com/zaproxy/zaproxy,7,308,10578,179090,3.0,32.0,1.0,True
careercup/CtCI-6th-Edition,https://github.com/careercup/CtCI-6th-Edition,7,0,10552,21093,2.0,5.0,1.0,True
jeasonlzy/okhttp-OkGo,https://github.com/jeasonlzy/okhttp-OkGo,7,14,10507,13418,5.0,7.0,0.0,True
lipangit/JiaoZiVideoPlayer,https://github.com/lipangit/JiaoZiVideoPlayer,7,78,10445,4511,6.0,4.0,4.0,True
tbruyelle/RxPermissions,https://github.com/tbruyelle/RxPermissions,7,11,10426,876,2.0,2.0,0.0,True
grpc/grpc-java,https://github.com/grpc/grpc-java,8,137,10406,223421,3.0,22.0,0.0,True
daniulive/SmarterStreaming,https://github.com/daniulive/SmarterStreaming,6,0,10399,10670,2.0,2.0,0.0,True
chefyuan/algorithm-base,https://github.com/chefyuan/algorithm-base,1,0,10351,0,,,,True
aosp-mirror/platform_frameworks_base,https://github.com/aosp-mirror/platform_frameworks_base,14,0,10339,0,0.0,0.0,0.0,False
YunaiV/ruoyi-vue-pro,https://github.com/YunaiV/ruoyi-vue-pro,2,16,10260,40359,5.0,4.0,0.0,True
questdb/questdb,https://github.com/questdb/questdb,8,62,10226,0,0.0,0.0,0.0,False
JessYanCoding/MVPArms,https://github.com/JessYanCoding/MVPArms,6,25,10199,5986,5.0,3.0,3.0,True
JakeWharton/ViewPagerIndicator,https://github.com/JakeWharton/ViewPagerIndicator,11,0,10190,2947,5.5,3.0,0.0,True
