repository,url,age,releases,stars,loc,cbo,dit,lcom,visited
CrawlScript/WebCollector,https://github.com/CrawlScript/WebCollector,8,0,2957,4617,3.0,9.0,1.0,True
kiegroup/optaplanner,https://github.com/kiegroup/optaplanner,12,0,2941,154626,5.0,23.0,1.0,True
bmelnychuk/AndroidTreeView,https://github.com/bmelnychuk/AndroidTreeView,8,0,2939,2145,4.0,3.0,0.0,True
halirutan/IntelliJ-Key-Promoter-X,https://github.com/halirutan/IntelliJ-Key-Promoter-X,5,23,2937,1124,5.0,6.0,0.0,True
JackyAndroid/AndroidTVLauncher,https://github.com/JackyAndroid/AndroidTVLauncher,6,3,2932,1086,4.0,3.0,0.0,True
bastillion-io/Bastillion,https://github.com/bastillion-io/Bastillion,10,17,2930,5129,4.0,3.0,3.0,True
hneemann/Digital,https://github.com/hneemann/Digital,6,34,2928,75583,3.0,36.0,0.0,True
KeepSafe/ReLinker,https://github.com/KeepSafe/ReLinker,7,12,2927,1224,2.0,4.0,0.0,True
JabRef/jabref,https://github.com/JabRef/jabref,9,37,2922,118583,5.0,7.0,0.0,True
201206030/novel-plus,https://github.com/201206030/novel-plus,2,19,2913,13670,3.0,4.0,0.0,True
lihangleo2/ShadowLayout,https://github.com/lihangleo2/ShadowLayout,3,27,2911,2056,4.0,2.0,1.0,True
yacy/yacy_search_server,https://github.com/yacy/yacy_search_server,7,0,2909,154101,4.0,10.0,0.0,True
microservices-patterns/ftgo-application,https://github.com/microservices-patterns/ftgo-application,5,0,2904,6868,3.0,5.0,0.0,True
yangchong211/YCAppTool,https://github.com/yangchong211/YCAppTool,5,10,2903,167151,2.0,22.0,0.0,True
googlesamples/google-services,https://github.com/googlesamples/google-services,7,0,2903,1078,3.0,3.0,0.0,True
648540858/wvp-GB28181-pro,https://github.com/648540858/wvp-GB28181-pro,2,0,2902,26346,5.0,4.0,2.0,True
iwgang/CountdownView,https://github.com/iwgang/CountdownView,7,3,2896,4441,3.0,3.0,0.0,True
Netflix/concurrency-limits,https://github.com/Netflix/concurrency-limits,5,92,2896,4387,3.0,5.0,1.0,True
OpenHFT/Chronicle-Queue,https://github.com/OpenHFT/Chronicle-Queue,9,448,2892,26947,4.0,8.0,0.0,True
pytorch/serve,https://github.com/pytorch/serve,3,16,3229,12924,2.0,5.0,3.0,True
bluelinelabs/LoganSquare,https://github.com/bluelinelabs/LoganSquare,8,0,3227,6892,3.0,5.0,0.0,True
WritingMinds/ffmpeg-android-java,https://github.com/WritingMinds/ffmpeg-android-java,8,8,3226,1306,1.0,3.0,1.0,True
BelooS/ChipsLayoutManager,https://github.com/BelooS/ChipsLayoutManager,6,11,3222,6101,3.5,6.0,0.0,True
eleme/UETool,https://github.com/eleme/UETool,4,10,3219,4165,4.0,18.0,0.0,True
eishay/jvm-serializers,https://github.com/eishay/jvm-serializers,12,0,3219,31287,5.0,10.0,1.0,True
dariuszseweryn/RxAndroidBle,https://github.com/dariuszseweryn/RxAndroidBle,7,56,3214,14992,3.0,6.0,0.0,True
kestra-io/kestra,https://github.com/kestra-io/kestra,3,16,3211,23194,6.0,6.0,0.0,True
s4kibs4mi/java-developer-roadmap,https://github.com/s4kibs4mi/java-developer-roadmap,3,0,3208,5,0.0,1.0,0.0,True
bauerca/drag-sort-listview,https://github.com/bauerca/drag-sort-listview,10,0,3206,4301,2.0,6.0,0.0,True
daimajia/AndroidViewHover,https://github.com/daimajia/AndroidViewHover,8,4,3202,712,2.0,3.0,1.0,True
woxingxiao/BubbleSeekBar,https://github.com/woxingxiao/BubbleSeekBar,6,12,3201,1958,2.0,3.0,1.0,True
bilibili/boxing,https://github.com/bilibili/boxing,6,1,3199,5910,4.0,5.0,1.0,True
pengjianbo/GalleryFinal,https://github.com/pengjianbo/GalleryFinal,7,4,3198,7997,3.0,5.0,1.0,True
jfinal/jfinal,https://github.com/jfinal/jfinal,10,0,3190,31852,3.0,9.0,1.0,True
aragozin/jvm-tools,https://github.com/aragozin/jvm-tools,10,0,3187,32343,3.0,9.0,0.0,True
alibaba/cobar,https://github.com/alibaba/cobar,9,1,3184,63193,3.0,9.0,1.0,True
JCTools/JCTools,https://github.com/JCTools/JCTools,9,16,3181,34705,3.0,18.0,0.0,True
angryip/ipscan,https://github.com/angryip/ipscan,11,30,3180,12563,3.0,24.0,0.0,True
Red5/red5-server,https://github.com/Red5/red5-server,9,73,3179,60726,3.0,6.0,1.0,True
chrisbanes/ActionBar-PullToRefresh,https://github.com/chrisbanes/ActionBar-PullToRefresh,9,0,3176,3717,5.0,4.0,1.0,True
camunda/camunda-bpm-platform,https://github.com/camunda/camunda-bpm-platform,10,0,3175,523896,4.0,22.0,1.0,True
charles2gan/GDA-android-reversing-Tool,https://github.com/charles2gan/GDA-android-reversing-Tool,5,34,3175,567,2.5,1.0,0.0,True
